0.76	0	0
0.76	0	0
0.7599	0.2069	0.4363
0.7598	0.4445	0.4363
0.7597	0.6486	0.4363
0.7595	0.9303	0.4363
0.7592	1.1549	0.4363
0.759	1.3493	0.4363
0.7586	1.5405	0.4363
0.7584	1.7037	0.4363
0.758	1.8784	0.4363
0.7576	2.0782	0.4363
0.757	2.3396	0.4363
0.7566	2.5631	0.4363
0.7561	2.77	0.4363
0.7556	2.9781	0.4363
0.7552	3.1459	0.4363
0.7545	3.4106	0.4363
0.7539	3.5812	0.4363
0.7534	3.7994	0.4363
0.7528	3.983	0.4363
0.7523	4.1812	0.4363
0.7517	4.3732	0.4363
0.7512	4.5646	0.4363
0.7507	4.7549	0.4363
0.7502	4.9441	0.4363
0.7497	5.1321	0.4363
0.7493	5.319	0.4363
0.7489	5.5048	0.4363
0.7486	5.6894	0.4363
0.7483	5.8729	0.4363
0.748	6.1158	0.4363
0.7479	6.2365	0.4363
0.7478	6.4167	0.4363
0.7478	6.6551	0.4363
0.748	6.8326	0.4363
0.7503	7.0091	0.4363
0.7562	7.1844	0.4363
0.768	7.3587	0.4363
0.7697	7.5318	0.4363
0.7764	7.7037	0.4363
0.7857	7.8746	0.4363
0.7969	8.0444	0.4363
0.8095	8.213	0.4363
0.8233	8.3805	0.4363
0.8376	8.547	0.4363
0.8523	8.7125	0.4363
0.8674	8.8769	0.4363
0.8829	9.0403	0.4363
0.8988	9.2028	0.4363
0.9151	9.3642	0.4363
0.9318	9.5245	0.4363
0.9489	9.6837	0.4363
0.9723	9.8945	0.4363
0.9903	10.0514	0.4363
1.0088	10.2072	0.4363
1.0277	10.3621	0.4363
1.0471	10.516	0.4363
1.067	10.669	0.4363
1.0874	10.821	0.4363
1.1083	10.972	0.4363
1.1297	11.1221	0.4363
1.1591	11.2735	0.4363
1.1817	11.4457	0.4363
1.2049	11.7323	0.4363
1.2283	11.4339	0.4363
1.2526	11.9206	0.4363
1.2773	11.8555	0.4363
1.3026	12.2174	0.4363
1.3284	12.1955	0.4363
1.355	12.5464	0.4363
1.3821	12.4231	0.4363
1.41	12.7861	0.4363
1.4383	12.7357	0.4363
1.4672	13.0162	0.4363
1.4969	12.9922	0.4363
1.5272	13.2976	0.4363
1.5582	13.2728	0.4363
1.5897	13.5726	0.4363
1.6219	13.4547	0.4363
1.6549	13.8763	0.4363
1.6885	13.848	0.4363
1.7229	14.116	0.4363
1.7461	14.218	0.4363
1.7936	14.386	0.4363
1.8179	14.5021	0.4363
1.8673	14.6757	0.4363
1.9051	14.5253	0.4363
1.9439	14.8924	0.4363
1.9833	14.8708	0.4363
2.0235	15.172	0.4363
2.0644	15.0351	0.4363
2.1062	15.3849	0.4363
2.1487	15.3739	0.4363
2.2066	15.5366	0.4363
2.2511	15.8161	0.4363
2.2962	15.6966	0.4363
2.3424	16.0238	0.4363
2.3891	16.0201	0.4363
2.4364	16.2785	0.4363
2.4844	16.1854	0.4363
2.5332	16.4667	0.4363
2.5846	16.4907	0.4363
